ISOCODE,Type,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
LUX,AGRI,Luxembourg,442,0.02,0.04,0.10,0.07,0.00,0.00,0.13,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.15,0.53,0.12
MDG,AGRI,Madagascar,450,"20,106.76","25,009.46","18,041.91","11,048.68","101,126.67","40,559.16","48,670.67","31,428.84","32,947.35","13,592.40","13,645.63","8,723.23","20,004.67","13,494.36","12,615.06","5,273.32","9,127.32","5,151.20","6,695.85","23,013.82"
MWI,AGRI,Malawi,454,"11,144.78","11,312.94","10,548.29","4,676.83","5,630.37","7,319.13","17,422.09","11,434.55","10,218.06","5,907.92","10,305.60","7,704.18","6,100.60","9,509.11","6,788.88","8,556.93","6,488.06","4,799.57","6,742.81","8,558.46"
MYS,AGRI,Malaysia,458,"2,589.16","28,009.09",335.55,289.88,"1,339.75","3,174.77","6,684.55","3,450.59","10,427.19",973.33,"1,899.16","1,596.97","2,934.13","2,930.21","7,245.48","3,335.51","2,174.93","5,444.69","1,315.49","4,534.23"
MDV,AGRI,Maldives,462,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLI,AGRI,Mali,466,"425,937.63","318,323.73","328,721.80","342,610.13","420,415.12","266,282.41","170,098.68","424,949.80","454,321.86","684,736.71","332,267.64","487,558.66","241,348.70","343,534.54","241,969.11","244,940.79","225,015.03","247,749.05","251,151.58","339,575.42"
MLT,AGRI,Malta,470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MTQ,AGRI,Martinique,474,0.01,0.03,0.02,0.01,7.18,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.48
MRT,AGRI,Mauritania,478,130.58,868.14,491.80,"5,270.68",810.91,424.31,17.31,"2,240.23",94.16,"2,559.31","7,516.74",815.70,577.82,"1,981.49",588.83,42.13,89.49,45.07,106.41,"1,298.48"
MUS,AGRI,Mauritius,480,15.51,16.41,11.75,0.46,70.44,73.87,21.33,39.86,26.23,72.79,11.76,1.17,10.02,55.23,113.04,59.41,117.82,172.87,16.58,47.71
MEX,AGRI,Mexico,484,"27,053.64","1,049,665.46","43,552.48","64,627.69","22,752.05","41,512.83","289,698.52","23,256.06","218,311.91","74,964.05","157,303.76","79,801.17","79,298.33","56,943.46","94,540.96","28,054.54","77,937.91","14,192.72","48,789.94","131,171.45"
MNG,AGRI,Mongolia,496,"55,531.41","304,139.12","10,036.73","47,038.12","182,762.40","126,821.14","1,647,849.15","10,495.25","66,728.41","409,590.73","180,496.57","318,104.56","232,310.83","1,643.72","82,820.31","95,690.34","89,920.12","19,353.71","461,242.20","228,556.57"
MDA,AGRI,Republic of Moldova,498,313.00,829.72,659.13,"1,161.79","8,325.97",482.03,18.91,"2,702.91","1,621.00","1,144.38",763.61,"15,354.68","1,290.89",505.67,859.42,497.76,810.03,"2,711.82",905.41,"2,155.69"
