ISOCODE,Type,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
CAF,AGRI,Central African Republic,140,"192,926.20","66,312.65","77,750.13","119,453.40","179,728.59","298,854.56","239,998.12","194,803.66","294,289.34","460,407.02","106,340.05","228,102.36","75,082.04","136,861.59","119,515.97","72,065.65","135,449.76","80,437.43","177,302.92","171,351.65"
LKA,AGRI,Sri Lanka,144,"1,080.66","4,485.01","3,798.67","1,524.03",479.58,"2,162.83","1,708.62","7,544.58","8,075.61","5,523.13","2,679.96","2,709.85","8,409.50","1,095.72","7,454.96","4,036.30","2,192.65","3,104.07","1,894.89","3,682.14"
TCD,AGRI,Chad,148,"733,977.88","383,291.94","350,008.93","576,009.30","576,818.08","461,479.29","313,356.92","454,679.77","754,173.12","689,008.03","605,879.48","616,230.40","482,439.34","335,655.37","449,349.84","386,189.91","273,594.67","306,775.66","308,182.38","476,689.49"
CHL,AGRI,Chile,152,"14,018.46","4,749.29","83,029.08","2,988.77","1,133.27",949.91,"71,880.83","1,484.31","7,083.72",771.19,"2,655.71","1,463.69","2,172.14","2,873.27","7,304.84","5,921.18","4,921.37","9,503.83","4,931.10","12,096.63"
CHN,AGRI,China,156,"167,936.54","182,190.39","151,866.48","215,985.99","225,332.70","105,725.89","660,048.14","471,227.71","228,543.23","278,950.81","232,459.80","180,159.84","231,038.51","144,020.01","201,422.80","661,448.75","241,022.58","978,181.15","3,918,523.65","498,741.31"
TWN,AGRI,Taiwan,158,129.24,237.71,45.57,16.60,138.13,150.17,52.53,715.79,89.15,118.23,110.32,156.30,150.18,141.20,203.22,161.49,192.87,566.29,286.55,192.71
COL,AGRI,Colombia,170,"21,488.52","3,663.08","2,383.62","10,284.84","3,603.57","2,212.89","4,078.62","2,167.64","1,129.93","1,566.24","20,899.72","1,915.53","2,372.16","1,348.04",518.22,"1,630.24","1,728.48","4,064.50","3,229.88","4,751.88"
COM,AGRI,Comoros,174,0.07,601.51,0.06,0.04,22.89,0.00,8.78,8.59,3.24,2.93,51.06,78.01,8.21,20.17,18.77,8.77,21.08,5.00,7.89,45.64
MYT,AGRI,Mayotte,175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COG,AGRI,Congo,178,"217,947.17","229,861.76","195,432.38","76,742.81","115,205.35","116,430.16","57,409.33","55,459.88","125,614.87","161,841.28","88,042.67","53,683.24","137,838.59","50,859.30","112,973.43","188,798.44","245,853.48","288,932.96","221,609.19","144,238.75"
